[2017-06-07 12:39:17] Download skipped by HTTP 304 Not Modified
[2017-06-07 12:39:17] Nothing to do
[2017-06-07 12:46:20] Background update loop checking for update. . .
[2017-06-07 12:46:21] Download skipped by HTTP 304 Not Modified
[2017-06-07 12:46:21] Nothing to do
[2017-06-07 12:47:23] Background update loop checking for update. . .
[2017-06-07 12:47:24] Download skipped by HTTP 304 Not Modified
[2017-06-07 12:47:24] Nothing to do
[2017-06-07 13:04:42] Background update loop checking for update. . .
[2017-06-07 13:04:43] Download skipped by HTTP 304 Not Modified
[2017-06-07 13:04:43] Nothing to do
[2017-06-07 13:29:34] Background update loop checking for update. . .
[2017-06-07 13:29:53] Download skipped by HTTP 304 Not Modified
[2017-06-07 13:29:53] Nothing to do
[2017-06-07 14:43:40] Background update loop checking for update. . .
[2017-06-07 14:43:41] Download skipped by HTTP 304 Not Modified
[2017-06-07 14:43:41] Nothing to do
[2017-06-07 15:03:31] Background update loop checking for update. . .
[2017-06-07 15:03:31] Download skipped by HTTP 304 Not Modified
[2017-06-07 15:03:31] Nothing to do
[2017-06-07 15:16:45] Shutdown


[2017-06-07 16:08:29] Startup - updater built Aug 22 2016 17:36:46


[2017-06-07 16:08:33] Startup - updater built Jun  1 2017 11:42:41
[2017-06-07 16:08:34] Verifying installation...
[2017-06-07 16:08:34] Verification complete
[2017-06-07 16:09:02] Background update loop checking for update. . .
[2017-06-07 16:09:02] Checking for available updates...
[2017-06-07 16:09:05] Shutdown
[2017-06-07 16:09:05] Error: Download failed: http error 0


[2017-06-09 08:45:54] Startup - updater built Aug 22 2016 17:36:46


[2017-06-09 08:46:04] Startup - updater built Jun  1 2017 11:42:41
[2017-06-09 08:46:07] Verifying installation...
[2017-06-09 08:46:07] Verification complete
[2017-06-09 08:46:18] Background update loop checking for update. . .
[2017-06-09 08:46:18] Checking for available updates...
[2017-06-09 08:46:23] Package file tenfoot_images_all.zip.vz.b206322dffd27ef3e5d89a9fa4ebe415ff7ad4ad_29392317 missing or incorrect size
[2017-06-09 08:46:23] Package file tenfoot_all.zip.vz.5cac343d38bfd9f28804bc5b214c97339b93c3d4_2282690 missing or incorrect size
[2017-06-09 08:46:23] Package file strings_all.zip.vz.6ea5aaa4a4a47a4dd65a1c620de14fa968aef615_2165767 missing or incorrect size
[2017-06-09 08:46:23] Package file public_all.zip.vz.075b1194d23df3822fd271f342d507d549e41fdd_755023 missing or incorrect size
[2017-06-09 08:46:23] Package file bins_osx.zip.vz.546dfea73bb645274c3c915206c0ab7466fa599c_20487337 missing or incorrect size
[2017-06-09 08:46:23] Package file bins_client_osx.zip.vz.780abe7013d9875defb96c31b5988b121f196c62_10132192 missing or incorrect size
[2017-06-09 08:46:23] Package file webhelpers_osx_macos109.zip.vz.d3e268d0475df31879cbc969a1c70c95a2838e11_1851963 missing or incorrect size
[2017-06-09 08:46:23] Package file steam_osx.zip.vz.0fded14a69a8cb00f2649041369e58d43df3d891_1158735 missing or incorrect size
[2017-06-09 08:46:23] Downloading update (0 of 66,626 KB)...
[2017-06-09 08:46:23] Downloading update (1,730 of 66,626 KB)...
[2017-06-09 08:46:23] Downloading update (4,564 of 66,626 KB)...
[2017-06-09 08:46:23] Downloading update (6,516 of 66,626 KB)...
[2017-06-09 08:46:24] Downloading update (8,625 of 66,626 KB)...
[2017-06-09 08:46:24] Downloading update (11,334 of 66,626 KB)...
[2017-06-09 08:46:24] Downloading update (13,915 of 66,626 KB)...
[2017-06-09 08:46:24] Downloading update (16,517 of 66,626 KB)...
[2017-06-09 08:46:25] Downloading update (19,323 of 66,626 KB)...
[2017-06-09 08:46:25] Downloading update (21,926 of 66,626 KB)...
[2017-06-09 08:46:25] Downloading update (23,526 of 66,626 KB)...
[2017-06-09 08:46:25] Downloading update (25,280 of 66,626 KB)...
[2017-06-09 08:46:26] Downloading update (27,495 of 66,626 KB)...
[2017-06-09 08:46:26] Downloading update (29,774 of 66,626 KB)...
[2017-06-09 08:46:26] Downloading update (32,074 of 66,626 KB)...
[2017-06-09 08:46:27] Downloading update (34,759 of 66,626 KB)...
[2017-06-09 08:46:27] Downloading update (37,126 of 66,626 KB)...
[2017-06-09 08:46:27] Downloading update (40,142 of 66,626 KB)...
[2017-06-09 08:46:27] Downloading update (43,294 of 66,626 KB)...
[2017-06-09 08:46:28] Downloading update (46,481 of 66,626 KB)...
[2017-06-09 08:46:28] Downloading update (49,619 of 66,626 KB)...
[2017-06-09 08:46:28] Downloading update (52,420 of 66,626 KB)...
[2017-06-09 08:46:28] Downloading update (55,271 of 66,626 KB)...
[2017-06-09 08:46:29] Downloading update (57,877 of 66,626 KB)...
[2017-06-09 08:46:29] Downloading update (60,175 of 66,626 KB)...
[2017-06-09 08:46:29] Downloading update (61,969 of 66,626 KB)...
[2017-06-09 08:46:29] Downloading update (64,226 of 66,626 KB)...
[2017-06-09 08:46:30] Downloading update (66,626 of 66,626 KB)...
[2017-06-09 08:46:30] Download complete.
[2017-06-09 08:51:22] uninstalled manifest found in /Users/lop/Library/Application Support/Steam/Steam.AppBundle/Steam/Contents/MacOS/package/steam_client_osx (1).
[2017-06-09 09:23:17] uninstalled manifest found in /Users/lop/Library/Application Support/Steam/Steam.AppBundle/Steam/Contents/MacOS/package/steam_client_osx (1).
[2017-06-09 09:26:30] Shutdown


[2017-06-14 12:07:05] Startup - updater built Aug 22 2016 17:36:46


[2017-06-14 12:07:08] Startup - updater built Jun  1 2017 11:42:41
[2017-06-14 12:07:08] uninstalled manifest found in /Users/lop/Library/Application Support/Steam/Steam.AppBundle/Steam/Contents/MacOS/package/steam_client_osx (1).
[2017-06-14 12:07:08] Found pending update
[2017-06-14 12:07:08] Installing update...
[2017-06-14 12:07:09] Extracting package...
[2017-06-14 12:07:22] Shutdown
[2017-06-14 12:07:23] Verifying installation...
[2017-06-14 12:07:23] Verification complete


[2017-06-14 23:23:07] Startup - updater built Aug 22 2016 17:36:46

